model_label,age_group,age_low,age_high,age_mid,OR_vs_ref,OR_CI_low,OR_CI_high,PDP_prob,SHAP_median
PRE full,40-49,40,49,44.5,2.5375834692058965,3.3320142679054796,1.9325637123501351,0.7214739539559374,0.8762687748166503
PRE full,50-59,50,59,54.5,1.5929794315074808,1.8253805816611175,1.3901667929964863,0.6192039701996362,0.5794606958011095
PRE full,60-69,60,69,64.5,1.0,1.0,1.0,0.5051438897285676,0.12283288193104679
PRE full,70-79,70,79,74.5,0.6277544958968316,0.5478309619630052,0.7193381434788219,0.3905459791094389,-0.333794931939016
PRE full,80-89,80,89,84.5,0.3940757071186852,0.3001187628853117,0.5174473646635581,0.286870773677024,-0.7219285737285693
POST full,40-49,40,49,44.5,3.2118123115788464,4.3480497558170494,2.3724977643157175,0.8445735972468091,0.9296241047661993
POST full,50-59,50,59,54.5,1.7921529821917677,2.085197773789587,1.5402914543409365,0.751982157149282,0.6168623717962045
POST full,60-69,60,69,64.5,1.0,1.0,1.0,0.6285043614911452,0.13569047491928968
POST full,70-79,70,79,74.5,0.5579880791075211,0.479570817008223,0.649227779055544,0.48560891214754687,-0.3454814219576252
POST full,80-89,80,89,84.5,0.31135069642610125,0.22998816852593454,0.4214967090973942,0.3450216523758581,-0.7544775343030029
