feature,mean_abs_shap
onset_to_puncture_min,0.6120514913957495
onset_to_ivt_min,0.566671945655462
cerebral_edema,0.5280083233887708
age,0.46662169552561644
admission_nihss,0.42130075818966173
tici_2b3,0.3426433006431363
aspects,0.26725894588922816
procedure_duration,0.1887802056436695
hyperlipidemia,0.18297663319997004
mrs_before,0.1537124561407903
ivt_given,0.133941763508215
diastolic_bp,0.11323753045648807
diabetes,0.11009483789637989
arrhythmia,0.10642765222731705
systolic_bp,0.09520439218796366
alcohol_abuse,0.08454726549019977
glycemia,0.08121962276568563
bmi,0.07885081123762991
cmp_before,0.062344128069970216
statins_before,0.062187554114970935
heart_condition,0.040843982354651746
puncture_to_recan_min,0.02827228568951377
hypertension,0.027090712091897576
sich,0.021057877536797914
tia_before,0.01672666604596509
smoking,0.016043615802860435
sex,0.008490602016418073
cholesterol,0.0038663440327670858
