feature,mean_abs_shap_like
cerebral_edema,0.7249223522829442
age,0.5699598326628554
onset_to_puncture_min,0.5350437473440084
onset_to_ivt_min,0.48801552959990907
admission_nihss,0.4563177963706838
tici_2b3,0.34358489843161905
hyperlipidemia,0.2259242974274858
aspects,0.1923820252723237
procedure_duration,0.16850967082637366
mrs_before,0.1480030624699981
ivt_given,0.1110948314511203
systolic_bp,0.10847253210383226
diabetes,0.10445685897907975
glycemia,0.0953894733588903
alcohol_abuse,0.089682307420579
arrhythmia,0.0772150164269798
diastolic_bp,0.0757231606926832
cmp_before,0.07485908804321777
heart_condition,0.06814816811551792
sich,0.05500805743004965
smoking,0.049738272384756005
bmi,0.047036545653050196
statins_before,0.028296625982797786
tia_before,0.025675060199552294
puncture_to_recan_min,0.019627716874344957
cholesterol,0.01852057695047351
hypertension,0.015544004950656899
