feature,VIF
age,1.428677970028127
sex,1.116550088280936
aspects,1.50614838308173
ivt_given,1.108511912647522
onset_to_ivt_min,64.31457261556963
onset_to_puncture_min,65.04170422275956
admission_nihss,1.094801015569506
mrs_before,1.1984757330335514
statins_before,1.5365202960432227
hypertension,1.2417315655143193
diabetes,1.233533805980881
hyperlipidemia,1.5596957893355348
smoking,1.1875402614174833
alcohol_abuse,1.0546637083454047
bmi,1.0130417011513035
arrhythmia,1.288072009879205
tia_before,1.129629850764038
cmp_before,1.2197377918005596
heart_condition,1.1735996200589238
systolic_bp,1.6265329139997908
diastolic_bp,1.5657410813070407
glycemia,1.153646071216001
cholesterol,1.0450649441847997
